id,created_at,text,retweet_count,favorite_count,media_count,url_count,Classification,Sentiment
1107798490787262464,2019-03-19 00:18:36,b'RT @digitalocean: Build your apps on the most developer-friendly cloud platform with predictable costs. Get started with a free $100 credit\xe2\x80\xa6',35,0,0,0,Non-Aligned,0.5106
1106676265820540929,2019-03-15 21:59:17,b'Little Fishy on a Dishey #Photography https://t.co/ZC3aT01kSQ',1,2,1,0,Non-Aligned,0.0
1106671349320372225,2019-03-15 21:39:45,b'A wize old Man #Photography https://t.co/LYhoZbUDlq',0,3,1,0,Non-Aligned,0.0
1105593930010247173,2019-03-12 22:18:28,b'Gardening #Photography https://t.co/RWvBVVH1ez',0,0,1,0,Non-Aligned,0.0
1105586390585229313,2019-03-12 21:48:30,b'Evening Building #Photography https://t.co/39hLeFXYaE',0,1,1,0,Non-Aligned,0.0
1105217852016132097,2019-03-11 21:24:04,b'vietnam-08-02-2019-42.jpg #Photography https://t.co/zyvDOqxATn',0,3,1,0,Non-Aligned,0.0
1105211433342558208,2019-03-11 20:58:34,b'Hoi An Trails #Photography https://t.co/stKxSAdXLx',1,0,1,0,Non-Aligned,0.0
1104136819363536901,2019-03-08 21:48:26,b'End of Shift #Photography https://t.co/dC2DVnSpJa',0,2,1,0,Non-Aligned,0.0
1103760527505924096,2019-03-07 20:53:11,b'Singing in the Rain #Photography https://t.co/K9jxZXew0B',0,2,1,0,Non-Aligned,0.0
1103704008533913600,2019-03-07 17:08:36,"b""@ScotTories haven't mentioned their party at all in their latest leaflet in Angus. Wonder if the parking issue affe\xe2\x80\xa6 https://t.co/RQ9rCHvHJu""",0,0,0,1,Green,0.0
1103451065507299331,2019-03-07 00:23:29,b'Fast Food #Photography https://t.co/6V2pILiKYp',0,1,1,0,Non-Aligned,0.0
1100891209533403137,2019-02-27 22:51:32,b'Woman and Dog #Photography https://t.co/VYqRJLhCZF',0,0,1,0,Non-Aligned,0.0
1100891198548557826,2019-02-27 22:51:29,b'Holding Court #Photography https://t.co/C7WNbZSSdg',0,0,1,0,Non-Aligned,0.0
1100891188276748290,2019-02-27 22:51:27,b'No Cars #Photography https://t.co/xAwAj0iNML',0,0,1,0,Non-Aligned,0.0
1100528838528978946,2019-02-26 22:51:36,b'Under the Palms #Photography https://t.co/QdXzd69gY9',0,4,1,0,Non-Aligned,0.0
